step,sim_time,force_z,x_def_x,x_def_y,x_def_z
187,3.7400,22.6302,0.013703,0.000794,0.071784
188,3.7600,18.4262,0.014020,-0.000648,0.064083
189,3.7800,14.1495,0.013566,-0.001911,0.056223
190,3.8000,9.8170,0.012248,-0.003105,0.048254
191,3.8200,5.4457,0.010361,-0.003953,0.040184
192,3.8400,1.0529,0.008206,-0.004149,0.032050
193,3.8600,-3.3440,0.005992,-0.003643,0.023870
194,3.8800,-7.7277,0.003976,-0.002469,0.015656
195,3.9000,-12.0809,0.002452,-0.000659,0.007441
196,3.9200,-16.3865,0.001260,0.001587,-0.000769
197,3.9400,-20.6273,0.000012,0.004048,-0.008955
198,3.9600,-24.7868,-0.001405,0.006625,-0.017077
199,3.9800,-28.8485,-0.002619,0.009229,-0.025155
200,4.0000,-32.7963,-0.004129,0.011684,-0.033133
201,4.0200,-36.6146,-0.005671,0.014349,-0.040893
202,4.0400,-40.2885,-0.007696,0.016986,-0.048384
203,4.0600,-43.8033,-0.010437,0.019423,-0.055579
204,4.0800,-47.1453,-0.013954,0.021543,-0.062402
205,4.1000,-50.3012,-0.017466,0.023486,-0.068981
206,4.1200,-53.2586,-0.020305,0.025110,-0.075513
207,4.1400,-56.0058,-0.021054,0.027406,-0.081938
208,4.1600,-58.5320,-0.022383,0.028714,-0.088113
209,4.1800,-60.8272,-0.024493,0.028227,-0.094257
210,4.2000,-62.8824,-0.027844,0.026092,-0.099911
211,4.2200,-64.6893,-0.032920,0.023232,-0.104583
212,4.2400,-66.2410,-0.038892,0.020368,-0.108258
213,4.2600,-67.5313,-0.043772,0.018604,-0.111599
214,4.2800,-68.5550,-0.046819,0.018186,-0.114901
215,4.3000,-69.3082,-0.047318,0.019208,-0.118338
216,4.3200,-69.7878,-0.045785,0.020791,-0.121819
217,4.3400,-69.9921,-0.040622,0.023972,-0.125097
218,4.3600,-69.9201,-0.032378,0.028387,-0.127883
219,4.3800,-69.5722,-0.025098,0.031604,-0.130101
220,4.4000,-68.9496,-0.020044,0.033442,-0.131638
221,4.4200,-68.0550,-0.017232,0.033564,-0.132581
222,4.4400,-66.8918,-0.015704,0.032378,-0.132982
223,4.4600,-65.4646,-0.015759,0.030003,-0.132743
224,4.4800,-63.7791,-0.017703,0.026429,-0.131768
225,4.5000,-61.8418,-0.021265,0.021784,-0.129893
226,4.5200,-59.6605,-0.024103,0.018057,-0.127430
227,4.5400,-57.2437,-0.024770,0.016668,-0.124562
228,4.5600,-54.6010,-0.023913,0.017139,-0.121165
229,4.5800,-51.7429,-0.023688,0.017694,-0.117067
230,4.6000,-48.6805,-0.026929,0.016213,-0.111530
231,4.6200,-45.4260,-0.032887,0.012854,-0.104402
232,4.6400,-41.9922,-0.038433,0.009376,-0.096723
233,4.6600,-38.3927,-0.042194,0.006518,-0.089103
234,4.6800,-34.6417,-0.043503,0.004937,-0.082026
235,4.7000,-30.7540,-0.042217,0.004811,-0.075693
236,4.7200,-26.7449,-0.040066,0.004973,-0.069241
237,4.7400,-22.6302,-0.037961,0.005112,-0.062211
